,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.913470739439097,0.5706369095725281,0.46065021529853345,0.4941383534862336,0.43818063658222794
std,0.08104999427603488,0.1915086548676474,0.2853317947286738,0.2669991740907737,0.24797797017533543
min,0.7920162912802394,0.33950046253469013,0.1486333971244909,0.20714951665930614,0.18297546012269938
25%,0.9103463441134352,0.4531908668159206,0.25383816000667475,0.29744983973264993,0.24844976594579
50%,0.9516379067856638,0.59267591621236,0.4888255120100996,0.5137192539580182,0.4456635830662171
75%,0.9547623021113255,0.7101219589689676,0.6956375673019584,0.710407767711602,0.635394453702655
max,0.9585908529048207,0.7576953433307024,0.7163164400494437,0.7419653893695921,0.678419920073778
