,test,train
accuracy,0.815446650124,1.0
auc score,0.685984639109,1.0
confusion matrix,"[[5050  498]
 [ 692  208]]","[[8476    0]
 [   0 2904]]"
f1,[ 0.89459699  0.25902864],[ 1.  1.]
mcc,0.156873065474,1.0
precision,[ 0.8794845   0.29461756],[ 1.  1.]
recall,[ 0.91023792  0.23111111],[ 1.  1.]
support,[5548  900],[8476 2904]
