,VR,VFA,RPA,RCA,OA
MatthewEntwistle_DontYouEver,0.951909307875895,0.48410584265672174,0.3294749403341289,0.4733890214797136,0.4363608593829549
MatthewEntwistle_FairerHopes,0.7979480213062596,0.5231209012947705,0.13345011260858686,0.27211954384585135,0.2912810803500705
MatthewEntwistle_TheArch,0.976668339187155,0.4898526120842658,0.5974410436527847,0.615454089312594,0.5480937009247949
MatthewEntwistle_Lontano,0.8174209922049671,0.6400372847899989,0.1217898362438818,0.19780651398876065,0.2064048620850865
MusicDelta_Gospel,0.9865266042475451,0.3285148053159245,0.7897921899977164,0.7926467229961178,0.7509005901739864
MatthewEntwistle_TheFlaxenField,0.8845222480072646,0.6453355611250348,0.20446978105135707,0.28594490969629704,0.3012452451015575
MatthewEntwistle_ImpressionsOfSaturn,0.9390154298310066,0.6595120083388287,0.2024246877296106,0.25606171932402644,0.30488940812427967
