,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.8325598823817202,0.525077382541935,0.28643820793638064,0.36191666533928635,0.34468003597896607
std,0.14277836684803924,0.1151614503325727,0.21211300112597245,0.1674027618126557,0.15943403311442172
min,0.6969265952699688,0.4245697970522417,0.1027419297179423,0.24580845815607907,0.24170707675663144
25%,0.7156108358907414,0.42872506860210574,0.15474338068919105,0.2631338414466503,0.24485188162271987
50%,0.8343684591003575,0.5124949652159971,0.2298346030459025,0.29691505242843086,0.27907187994150795
75%,0.9513175055913363,0.6088472791558265,0.36152943029309204,0.3956978763210669,0.3789000342977542
max,0.9645760160561967,0.6507498026835044,0.5833416959357752,0.6080280983442047,0.5788693072762171
