,test,train
accuracy,0.820945945946,0.999941978532
auc score,0.631358239076,1.0
confusion matrix,"[[1435   55]
 [ 263   23]]","[[13501     0]
 [    1  3733]]"
f1,[ 0.90025094  0.12637363],[ 0.99996297  0.99986608]
mcc,0.0780400312696,0.999829059096
precision,[ 0.8451119   0.29487179],[ 0.99992594  1.        ]
recall,[ 0.96308725  0.08041958],[ 1.          0.99973219]
support,[1490  286],[13501  3734]
