,test,train
accuracy,0.826978348343,1.0
auc score,0.707777572892,1.0
confusion matrix,"[[4295   41]
 [ 862   21]]","[[9989    0]
 [   0 1082]]"
f1,[ 0.90487728  0.04444444],[ 1.  1.]
mcc,0.0495770847715,1.0
precision,[ 0.83284856  0.33870968],[ 1.  1.]
recall,[ 0.99054428  0.02378256],[ 1.  1.]
support,[4336  883],[9989 1082]
