,VR,VFA,RPA,RCA,OA
MatthewEntwistle_TheArch,0.9194681384846964,0.3481750135041284,0.5715504264927246,0.5954340190667335,0.6169298551736172
MusicDelta_Britpop,0.8299158780231335,0.5864246250986582,0.28732912723449,0.31230283911671924,0.33780372357210475
MatthewEntwistle_FairerHopes,0.49855217531190793,0.37472675298469815,0.04107532263253852,0.18614378150359276,0.30955738876760497
ChrisJacoby_BoothShotLincoln,0.6299085229808121,0.36805385556915543,0.16538375725122714,0.2600401606425703,0.2519647481033935
