,test,train
accuracy,0.702816631539,0.679794056544
auc score,0.762250932957,0.781112921071
confusion matrix,"[[3073 1263]
 [ 288  595]]","[[6742 3247]
 [ 298  784]]"
f1,[ 0.79849292  0.43414812],[ 0.79182571  0.30666927]
mcc,0.299546268147,0.246562793981
precision,[ 0.91431122  0.32023681],[ 0.95767045  0.19449268]
recall,[ 0.70871771  0.67383918],[ 0.67494244  0.7245841 ]
support,[4336  883],[9989 1082]
