,test,train
accuracy,0.63998809878,0.817409554267
auc score,0.593806346612,0.912966898729
confusion matrix,"[[3513 1205]
 [1215  789]]","[[4654  657]
 [1170 3525]]"
f1,[ 0.7438069   0.39469735],[ 0.83592277  0.79418723]
mcc,0.138507409898,0.634505435246
precision,[ 0.7430203   0.39568706],[ 0.79910714  0.84289813]
recall,[ 0.74459517  0.39371257],[ 0.87629448  0.75079872]
support,[4718 2004],[5311 4695]
