,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.9011411899005995,0.733549660508778,0.3216565331263282,0.3697087787195137,0.29226805162554625
std,0.06060335112947391,0.029066488491887657,0.2658852471807219,0.24888631461596414,0.15309395929484235
min,0.8321786690975388,0.7102359791602819,0.16004220030423474,0.22422140800837478,0.1740605828220859
25%,0.8786062748115553,0.7180282563397249,0.16455255478686737,0.23193493392466105,0.20715515104668852
50%,0.8962363085404395,0.7240669304551313,0.20513374607581714,0.25663318223582887,0.23969461718674967
75%,0.9187712236294837,0.7395883346241845,0.36223772441527796,0.3944070270306815,0.32480751776560746
max,0.9799134734239803,0.7758288019645676,0.7163164400494437,0.7413473423980222,0.5156223893065999
