,test,train
accuracy,0.766749379653,0.721267052887
auc score,0.800340102419,0.849177381504
confusion matrix,"[[4892 1475]
 [  29   52]]","[[7375 2909]
 [  74  344]]"
f1,[ 0.86676116  0.06467662],[ 0.83178255  0.18741487]
mcc,0.107492459373,0.227484739373
precision,[ 0.99410689  0.0340537 ],[ 0.99006578  0.10574854]
recall,[ 0.76833674  0.64197531],[ 0.71713341  0.82296651]
support,[6367   81],[10284   418]
