,test,train
accuracy,0.732630272953,0.723509624369
auc score,0.757219220764,0.828460080183
confusion matrix,"[[4428 1552]
 [ 172  296]]","[[6477 2655]
 [ 304 1266]]"
f1,[ 0.83705104  0.25561313],[ 0.8140514   0.46111819]
mcc,0.213988568814,0.378641885369
precision,[ 0.9626087   0.16017316],[ 0.95516885  0.32287682]
recall,[ 0.74046823  0.63247863],[ 0.70926413  0.80636943]
support,[5980  468],[9132 1570]
