,test,train
accuracy,0.752815315315,1.0
auc score,0.603739522652,1.0
confusion matrix,"[[1286   96]
 [ 343   51]]","[[12109     0]
 [    0  5126]]"
f1,[ 0.85420126  0.18853974],[ 1.  1.]
mcc,0.0904416012301,1.0
precision,[ 0.78944138  0.34693878],[ 1.  1.]
recall,[ 0.93053546  0.12944162],[ 1.  1.]
support,[1382  394],[12109  5126]
