,test,train
accuracy,0.962957453139,1.0
auc score,0.709506188258,1.0
confusion matrix,"[[6470   29]
 [ 220    3]]","[[9143    0]
 [   0  863]]"
f1,[ 0.98112063  0.02352941],[ 1.  1.]
mcc,0.0233927170435,1.0
precision,[ 0.9671151  0.09375  ],[ 1.  1.]
recall,[ 0.99553778  0.01345291],[ 1.  1.]
support,[6499  223],[9143  863]
