,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.86034759031642,0.6027402054551123,0.3863492203180635,0.4395024583366591,0.41109576005371906
std,0.11623917597725444,0.1030813763609942,0.21153971536389926,0.1738696859481321,0.09956671702088668
min,0.688392662944972,0.5105545317473613,0.14500108750815632,0.2647719857898934,0.2890501735563269
25%,0.8466828833442165,0.5157258269849301,0.24997266935337978,0.3081094002329623,0.3502685987524035
50%,0.9043642539973678,0.5977958837895039,0.39178946099751616,0.4317371817041687,0.43018326778490507
75%,0.9180289609695713,0.6848102622596861,0.5281660119621999,0.5631302398078655,0.4910104290862206
max,0.9442691903259727,0.7048145224940805,0.6168168717690654,0.6297634841484057,0.4949663310887393
