,test,train
accuracy,0.591191066998,0.650439367311
auc score,0.585510820187,0.713665529651
confusion matrix,"[[2705 1094]
 [1542 1107]]","[[3368 1145]
 [2833 4034]]"
f1,[ 0.67238379  0.45649485],[ 0.6287101  0.6697659]
mcc,0.13480642817,0.327842346762
precision,[ 0.63692018  0.5029532 ],[ 0.5431382   0.77891485]
recall,[ 0.71202948  0.41789354],[ 0.7462885   0.58744721]
support,[3799 2649],[4513 6867]
