,max depth,accuracy,std
0,5.0,0.6284651915331215,0.021159231793343506
1,10.0,0.6383091047495417,0.024690822225561404
2,15.0,0.6405082579985919,0.021327736595270753
3,20.0,0.6391017804351647,0.021171058896168864
4,25.0,0.637258522227117,0.020339717592969344
5,30.0,0.6402446763394269,0.017141500573478578
6,35.0,0.6344467643611832,0.017132493325070306
7,40.0,0.6398927965728607,0.016839076210389308
8,45.0,0.6356766843015793,0.01761681624923417
9,50.0,0.6340057751100772,0.02110339066785509
10,55.0,0.6419133455458053,0.02086874127256573
11,60.0,0.6377826357438187,0.02213900340324898
12,65.0,0.6375198650885974,0.01660777266255841
13,70.0,0.6414756386986845,0.014705293756013751
14,75.0,0.638486897716362,0.019928853332569663
15,80.0,0.6369054070149813,0.018104081463575564
16,85.0,0.6360258616263812,0.017859551470187477
17,90.0,0.6401564170952113,0.016218675862740107
18,95.0,0.6371664020416217,0.019695486687779012
