,test,train
accuracy,0.647177419355,0.690618575967
auc score,0.632025315818,0.747222483759
confusion matrix,"[[3243 1346]
 [ 929  930]]","[[4155 1607]
 [1704 3236]]"
f1,[ 0.74032645  0.44981862],[ 0.71508476  0.66155576]
mcc,0.196166342426,0.376754925834
precision,[ 0.77732502  0.4086116 ],[ 0.70916539  0.66818088]
recall,[ 0.70668991  0.50026896],[ 0.72110378  0.65506073]
support,[4589 1859],[5762 4940]
