,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.9147067442354092,0.6108806639063761,0.3227679852883106,0.365744845960801,0.3428333290678078
std,0.06083027076712707,0.10928001415192341,0.2659521116769227,0.2526663806720455,0.20209123390456354
min,0.8611668185961714,0.4514368861404147,0.16109720791010354,0.21996859460874116,0.19355828220858895
25%,0.8624652656677385,0.5852006251514076,0.16574865424133114,0.22165268155370155,0.23293523753038198
50%,0.9147617724467448,0.6508402887067617,0.20621109962527767,0.25021367644665043,0.2689209339068433
75%,0.9670032510144155,0.6765203274617302,0.3632304306722571,0.39430584085374987,0.3788190254442691
max,0.9681366134519759,0.6904051920715664,0.7175525339925835,0.742583436341162,0.6399331662489557
