,test,train
accuracy,0.776010730025,0.699394815283
auc score,0.540795826106,0.814837811221
confusion matrix,"[[4003 1008]
 [ 161   47]]","[[7560 3271]
 [  57  183]]"
f1,[ 0.87258856  0.07442597],[ 0.81960104  0.09907959]
mcc,0.0120819069626,0.144748169428
precision,[ 0.96133525  0.04454976],[ 0.99251674  0.05298205]
recall,[ 0.79884255  0.22596154],[ 0.69799649  0.7625    ]
support,[5011  208],[10831   240]
