,test,train
accuracy,0.959762406591,0.999909673923
auc score,0.494231920544,1.0
confusion matrix,"[[5009    2]
 [ 208    0]]","[[10831     0]
 [    1   239]]"
f1,[ 0.97946813  0.        ],[ 0.99995384  0.99791232]
mcc,-0.00398909193633,0.99786842767
precision,[ 0.96013034  0.        ],[ 0.99990768  1.        ]
recall,[ 0.99960088  0.        ],[ 1.          0.99583333]
support,[5011  208],[10831   240]
