,test,train
accuracy,0.951013513514,0.999883957064
auc score,0.653544072336,1.0
confusion matrix,"[[1688    6]
 [  81    1]]","[[15671     0]
 [    2  1562]]"
f1,[ 0.97487727  0.02247191],[ 0.99993619  0.9993602 ]
mcc,0.0289819699633,0.999296644053
precision,[ 0.95421142  0.14285714],[ 0.99987239  1.        ]
recall,[ 0.99645809  0.01219512],[ 1.          0.99872123]
support,[1694   82],[15671  1564]
