,test,train
accuracy,0.739609181141,0.727247243506
auc score,0.771454552166,0.843234335349
confusion matrix,"[[4545 1552]
 [ 127  224]]","[[6782 2709]
 [ 210 1001]]"
f1,[ 0.84408952  0.21062529],[ 0.82290845  0.40682788]
mcc,0.194825548608,0.360219418599
precision,[ 0.97281678  0.12612613],[ 0.96996568  0.26981132]
recall,[ 0.74544858  0.63817664],[ 0.7145717  0.8265896]
support,[6097  351],[9491 1211]
