,test,train
accuracy,0.924627791563,0.999906559522
auc score,0.72808424301,1.0
confusion matrix,"[[5952  145]
 [ 341   10]]","[[9491    0]
 [   1 1210]]"
f1,[ 0.96077482  0.03952569],[ 0.99994732  0.99958695]
mcc,0.00697330537282,0.999534377242
precision,[ 0.94581281  0.06451613],[ 0.99989465  1.        ]
recall,[ 0.97621781  0.02849003],[ 1.          0.99917424]
support,[6097  351],[9491 1211]
