,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.8759254255090808,0.5585502321170208,0.318354779911022,0.3580740418323427,0.3613039374312733
std,0.08765214050139006,0.09239241006572137,0.26811554074841315,0.25748769601616217,0.19096419228636394
min,0.794494332401001,0.4645325572935613,0.15216644585112124,0.2037391432356838,0.18926380368098158
25%,0.8030675211130123,0.5009017571597373,0.1617984813921182,0.21385025296411592,0.26528563979726505
50%,0.8762353288226057,0.5457708633630899,0.20246811687176156,0.24329581736204736,0.3113510774497918
75%,0.9490932332186741,0.6034193383203735,0.35902441539066543,0.38751960623027404,0.4073693750838
max,0.9567367119901112,0.6781266444483424,0.7163164400494437,0.7419653893695921,0.633249791144528
