,max depth,accuracy,std
0,5.0,0.7324744103248777,0.038562587136075584
1,10.0,0.8124643751581629,0.023685670555011216
2,15.0,0.8557273750621743,0.020170625376336525
3,20.0,0.8693692679564038,0.017512551444108033
4,25.0,0.8729201462516472,0.014397481258209907
5,30.0,0.8727325322652426,0.0154156478519981
6,35.0,0.8739472237493127,0.015140793747567794
7,40.0,0.8729200589893278,0.015513653440202432
8,45.0,0.8735742645968045,0.01328526209786858
9,50.0,0.8723593113257764,0.014971261978098702
10,55.0,0.8722656788572127,0.014841511707265607
11,60.0,0.8734805448659214,0.014945316188658877
12,65.0,0.871891934343831,0.01391751828572176
13,70.0,0.8718920216061502,0.014557881372515078
14,75.0,0.8733865633480807,0.016271547180395696
15,80.0,0.8749756974440868,0.014412435057924474
16,85.0,0.8732003455587842,0.014880542201765903
17,90.0,0.873760831435378,0.013339831346677497
18,95.0,0.8708641587476112,0.01588697327775508
