,VR,VFA,RPA,RCA,OA
count,2.0,2.0,2.0,2.0,2.0
mean,0.4815233454724931,0.3314919195705077,0.1147193154996976,0.19710326952338195,0.4154968491067854
std,0.14125233388855785,0.023335549416167903,0.09507964161786132,0.007448423477502574,0.08232870377606721
min,0.38164286232146744,0.3149911943356216,0.04748785615892119,0.1918364387732908,0.3572816643804298
25%,0.4315831038969803,0.32324155695306467,0.0811035858293094,0.19446985414833637,0.38638925674360763
50%,0.4815233454724931,0.3314919195705077,0.1147193154996976,0.19710326952338195,0.4154968491067854
75%,0.5314635870480059,0.3397422821879508,0.1483350451700858,0.19973668489842752,0.44460444146996325
max,0.5814038286235187,0.3479926448053938,0.18195077484047403,0.2023701002734731,0.4737120338331411
