,test,train
accuracy,0.600788288288,0.733623440673
auc score,0.602329188549,0.83819061008
confusion matrix,"[[728 268]
 [441 339]]","[[6891 1081]
 [3510 5753]]"
f1,[ 0.67251732  0.4888248 ],[ 0.75012246  0.71479158]
mcc,0.173211173918,0.494823092671
precision,[ 0.62275449  0.55848435],[ 0.66253245  0.84182031]
recall,[ 0.73092369  0.43461538],[ 0.8644004   0.62107309]
support,[996 780],[7972 9263]
