,test,train
accuracy,0.986507444169,1.0
auc score,0.687308401538,1.0
confusion matrix,"[[6361    6]
 [  81    0]]","[[10973     0]
 [    0   407]]"
f1,[ 0.9932079  0.       ],[ 1.  1.]
mcc,-0.00344223367908,1.0
precision,[ 0.98742627  0.        ],[ 1.  1.]
recall,[ 0.99905764  0.        ],[ 1.  1.]
support,[6367   81],[10973   407]
