,test,train
accuracy,0.971464019851,1.0
auc score,0.701660311408,1.0
confusion matrix,"[[6263   31]
 [ 153    1]]","[[10010     0]
 [    0   692]]"
f1,[ 0.98552321  0.01075269],[ 1.  1.]
mcc,0.00340731818761,1.0
precision,[ 0.97615337  0.03125   ],[ 1.  1.]
recall,[ 0.99507467  0.00649351],[ 1.  1.]
support,[6294  154],[10010   692]
