,max depth,accuracy,std
0,5.0,0.7543464273398317,0.01901562039232039
1,10.0,0.8500276750754079,0.00935394797127297
2,15.0,0.8994566693003095,0.013028355336999739
3,20.0,0.9209484606284949,0.008988059434706187
4,25.0,0.9268357872773226,0.005701062171718165
5,30.0,0.9268358309288611,0.005537298352785324
6,35.0,0.9284244850209745,0.004448426025840141
7,40.0,0.9274898619301837,0.006955722639815764
8,45.0,0.927770279413498,0.005135700654350058
9,50.0,0.9273965785924124,0.005535941100106636
10,55.0,0.9282376127846627,0.0040496472726675855
11,60.0,0.9278636064028077,0.005678299068445783
12,65.0,0.927209400795331,0.007081511660163367
13,70.0,0.9274899492332608,0.005099895073764877
14,75.0,0.9278636500543461,0.006093277603113699
15,80.0,0.9268359182319381,0.004736896011079039
16,85.0,0.9280503913360427,0.006533339364738623
17,90.0,0.9275834944802629,0.005394847724831469
18,95.0,0.9287047715496731,0.004281024105884149
