,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.798057215626641,0.45361592983755716,0.3042647129650196,0.34407215775262806,0.3962321843717718
std,0.11864146272407605,0.12417534829672099,0.27368336853596265,0.263179295336662,0.20743458092906888
min,0.6764813126709207,0.3463077482720989,0.13406176393614236,0.18934833813137922,0.1906825153374233
25%,0.7152155732729856,0.37411907620378937,0.13810840432865507,0.19092239293855656,0.2978625770250355
50%,0.7880035647818513,0.4209750211468529,0.18704860576666518,0.22557768661261973,0.35535201667215865
75%,0.8708452071355067,0.5004718747806206,0.3532049144030297,0.3787274514266913,0.45372162401889493
max,0.9397404202719407,0.6262059287844238,0.7088998763906057,0.7357849196538937,0.6835421888053467
