,test,train
accuracy,0.597972972973,0.670496083551
auc score,0.604837660677,0.71077148192
confusion matrix,"[[778 433]
 [281 284]]","[[7277 3000]
 [2679 4279]]"
f1,[ 0.68546256  0.44305772],[ 0.71931992  0.60110978]
mcc,0.137737926439,0.320909376184
precision,[ 0.73465534  0.39609484],[ 0.73091603  0.58785547]
recall,[ 0.64244426  0.50265487],[ 0.70808602  0.61497557]
support,[1211  565],[10277  6958]
