,VR,VFA,RPA,RCA,OA
count,2.0,2.0,2.0,2.0,2.0
mean,0.7141477706479334,0.47041456319103303,0.18219918998982282,0.26107048275514755,0.36282746980822506
std,0.06133831691222303,0.06824575965585701,0.06552499880842867,0.010965222063614942,0.0056605249132748526
min,0.670775030812731,0.42215752375114923,0.13586601899514247,0.2533168998767491,0.358824874256973
25%,0.6924614007303322,0.44628604347109113,0.15903260449248263,0.2571936913159483,0.36082617203259904
50%,0.7141477706479334,0.47041456319103303,0.18219918998982282,0.26107048275514755,0.36282746980822506
75%,0.7358341405655346,0.49454308291097493,0.20536577548716303,0.2649472741943468,0.3648287675838511
max,0.7575205104831358,0.5186716026309168,0.2285323609845032,0.26882406563354605,0.3668300653594771
