,test,train
accuracy,0.920608108108,1.0
auc score,0.658270071314,1.0
confusion matrix,"[[1631    7]
 [ 134    4]]","[[15191     0]
 [    0  2044]]"
f1,[ 0.95856597  0.05369128],[ 1.  1.]
mcc,0.0843209987617,1.0
precision,[ 0.92407932  0.36363636],[ 1.  1.]
recall,[ 0.9957265   0.02898551],[ 1.  1.]
support,[1638  138],[15191  2044]
