,max depth,accuracy,std
0,5.0,0.6767936211714322,0.05948941023596293
1,10.0,0.6953845754445455,0.05432989181190276
2,15.0,0.7031803279179591,0.04330002771645943
3,20.0,0.6973835260192083,0.038947111761831785
4,25.0,0.6986831758945702,0.03855718301898348
5,30.0,0.7005817770435462,0.040208885178286996
6,35.0,0.7013818265692329,0.03886536892208242
7,40.0,0.7030810768441953,0.038540117300029486
8,45.0,0.7031802280677842,0.03786689329329129
9,50.0,0.703480477543446,0.038723401679945424
10,55.0,0.7022813767941204,0.03836244543004309
11,60.0,0.7005825758449448,0.04174767573691452
12,65.0,0.699082576593821,0.04013754217183495
13,70.0,0.7017817764444451,0.03895327919303513
14,75.0,0.7025804280676844,0.03776182364202753
15,80.0,0.701780777942697,0.0358145633224551
16,85.0,0.7044797281678842,0.03972067867898065
17,90.0,0.7014815768938708,0.03991825841598804
18,95.0,0.7041796284674845,0.03682504195988673
