,test,train
accuracy,0.735941684023,1.0
auc score,0.616749519928,1.0
confusion matrix,"[[4618  734]
 [1041  329]]","[[6461    0]
 [   0 3545]]"
f1,[ 0.83879757  0.27044801],[ 1.  1.]
mcc,0.113716443297,1.0
precision,[ 0.81604524  0.30950141],[ 1.  1.]
recall,[ 0.86285501  0.24014599],[ 1.  1.]
support,[5352 1370],[6461 3545]
