,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.7800475640157578,0.3991514932434581,0.37240999361018257,0.42339290140934294,0.49667908227636515
std,0.14893390967971915,0.15690541053799723,0.21899825568419623,0.18063684517956027,0.13439308410412654
min,0.5675342565069238,0.21896465069525883,0.11397085478141086,0.23540926556949177,0.3318081413695172
25%,0.7338686139606181,0.3413872942193845,0.24418672000450098,0.2932766066131931,0.4153302071993574
50%,0.8265383047202202,0.3879130052592553,0.3787627816147367,0.416166581077446,0.5184552392240733
75%,0.8727172547753601,0.44567720428332885,0.5069860552204182,0.5462828758735958,0.5998041143010812
max,0.8995793901156677,0.6018153117600631,0.6181435564298459,0.6258291779129878,0.6179977092877967
