,test,train
accuracy,0.767033620946,0.69358384969
auc score,0.751108061691,0.837191761348
confusion matrix,"[[5113 1538]
 [  28   43]]","[[6624 3002]
 [  64  316]]"
f1,[ 0.8671981   0.05205811],[ 0.81206326  0.17090319]
mcc,0.0902417675644,0.211005541075
precision,[ 0.99455359  0.02719798],[ 0.99043062  0.0952381 ]
recall,[ 0.76875658  0.6056338 ],[ 0.6881363   0.83157895]
support,[6651   71],[9626  380]
