,test,train
accuracy,0.708281637717,0.701364230985
auc score,0.717572298326,0.782802928768
confusion matrix,"[[4011 1537]
 [ 344  556]]","[[5467 2448]
 [ 748 2039]]"
f1,[ 0.81005756  0.37153358],[ 0.77381458  0.56062689]
mcc,0.25219425588,0.375614211849
precision,[ 0.92101033  0.2656474 ],[ 0.87964602  0.45442389]
recall,[ 0.72296323  0.61777778],[ 0.69071383  0.73161105]
support,[5548  900],[7915 2787]
