,test,train
accuracy,0.807692307692,1.0
auc score,0.680236621806,1.0
confusion matrix,"[[5007  541]
 [ 699  201]]","[[7915    0]
 [   0 2787]]"
f1,[ 0.88981695  0.24482339],[ 1.  1.]
mcc,0.136638723931,1.0
precision,[ 0.87749737  0.27088949],[ 1.  1.]
recall,[ 0.90248738  0.22333333],[ 1.  1.]
support,[5548  900],[7915 2787]
