,test,train
accuracy,0.868331265509,1.0
auc score,0.70442718415,1.0
confusion matrix,"[[5516  299]
 [ 550   83]]","[[9267    0]
 [   0 2113]]"
f1,[ 0.92854137  0.1635468 ],[ 1.  1.]
mcc,0.100454164208,1.0
precision,[ 0.9093307   0.21727749],[ 1.  1.]
recall,[ 0.94858126  0.13112164],[ 1.  1.]
support,[5815  633],[9267 2113]
