,VR,VFA,RPA,RCA,OA
MatthewEntwistle_DontYouEver,0.85763723150358,0.3994849937844077,0.27708830548926017,0.41217183770883054,0.46252927400468385
MatthewEntwistle_FairerHopes,0.6159153469416938,0.4081049268538759,0.0967718871769206,0.24276981374897222,0.32431753636908095
MatthewEntwistle_TheArch,0.9655795283492222,0.4196697276024385,0.5915704967385851,0.6103361766181635,0.585216367126156
MatthewEntwistle_Lontano,0.6802827965435978,0.5549950652483825,0.1150522690192761,0.1978367272947006,0.23227364812217546
MusicDelta_Gospel,0.9772779173327244,0.3084635113079972,0.7808860470427038,0.7837405800411053,0.7515137579520196
MatthewEntwistle_TheFlaxenField,0.7665220462112804,0.5586187691450849,0.17314095449500555,0.24921804056099284,0.3459771764874758
MatthewEntwistle_ImpressionsOfSaturn,0.8001469507714916,0.5179646450679657,0.18791329904482,0.24699975508204752,0.40619819706035587
