,test,train
accuracy,0.722084367246,0.695079086116
auc score,0.749289507036,0.796206008313
confusion matrix,"[[4266 1549]
 [ 243  390]]","[[6280 2987]
 [ 483 1630]]"
f1,[ 0.82642387  0.30326594],[ 0.78353088  0.48439822]
mcc,0.226926474236,0.355632667484
precision,[ 0.94610778  0.20113461],[ 0.92858199  0.3530431 ]
recall,[ 0.73361995  0.61611374],[ 0.67767346  0.77141505]
support,[5815  633],[9267 2113]
