,test,train
accuracy,0.585837548349,0.643314011593
auc score,0.578258969857,0.707783796938
confusion matrix,"[[2860 1031]
 [1753 1078]]","[[2858 1033]
 [2536 3579]]"
f1,[ 0.67262465  0.43643725],[ 0.61561659  0.66728815]
mcc,0.123234011048,0.312754799314
precision,[ 0.61998699  0.51114272],[ 0.52984798  0.77601908]
recall,[ 0.73502956  0.38078418],[ 0.73451555  0.58528209]
support,[3891 2831],[3891 6115]
