,test,train
accuracy,0.88963963964,1.0
auc score,0.631648141114,1.0
confusion matrix,"[[1568   17]
 [ 179   12]]","[[14514     0]
 [    0  2721]]"
f1,[ 0.94117647  0.10909091],[ 1.  1.]
mcc,0.127361315143,1.0
precision,[ 0.89753864  0.4137931 ],[ 1.  1.]
recall,[ 0.98927445  0.06282723],[ 1.  1.]
support,[1585  191],[14514  2721]
