,max depth,accuracy,std
0,5.0,0.7170259075121153,0.05047777754790436
1,10.0,0.7598477388222828,0.0463672114427191
2,15.0,0.8066718900739043,0.03309312953630079
3,20.0,0.8306928292031246,0.02177434173333851
4,25.0,0.8327821070617972,0.01793866199398056
5,30.0,0.8349866031100038,0.015729654193036458
6,35.0,0.8351027469722558,0.014865134338230047
7,40.0,0.8344646118586777,0.0154187463250983
8,45.0,0.8353349338192262,0.01360466987072432
9,50.0,0.8348126396716058,0.014735438934480505
10,55.0,0.8345226501248936,0.015184278732901946
11,60.0,0.8346967145580223,0.014961814227956498
12,65.0,0.8363211641634507,0.014142233742753097
13,70.0,0.8361472513054331,0.01492237434292283
14,75.0,0.8343483837120698,0.014622192171679368
15,80.0,0.836901479886445,0.015022969853297449
16,85.0,0.8344064893178725,0.013619231141789104
17,90.0,0.834464393031878,0.0144494909608064
18,95.0,0.8355669019272947,0.014975611717538063
