,VR,VFA,RPA,RCA,OA
count,8.0,8.0,8.0,8.0,8.0
mean,0.8601466495747103,0.4212696706727162,0.4539493785631585,0.49495515601750323,0.5054852753404903
std,0.05606185506906183,0.1374350052209002,0.2439564454811415,0.21344062140415787,0.16189272328772952
min,0.8191772857212074,0.21865276259355815,0.14027741428945303,0.19713425804763152,0.3158298838296168
25%,0.830388635198614,0.33278316175914086,0.20230355120582103,0.28546474926150744,0.3626649647628339
50%,0.8368249804440866,0.43474437400128946,0.5310800148865094,0.5606778129050898,0.5203252267997984
75%,0.8642148483010836,0.5120768124131375,0.6204885316496065,0.6365193687347951,0.5628964670807187
max,0.986412422927609,0.6191206814454262,0.7897921899977164,0.7926467229961178,0.7733578600444546
