,test,train
accuracy,0.76738838858,0.999909673923
auc score,0.712281987629,1.0
confusion matrix,"[[3945   51]
 [1163   60]]","[[9656    0]
 [   1 1414]]"
f1,[ 0.86665202  0.08995502],[ 0.99994822  0.99964652]
mcc,0.106563600796,0.999594821702
precision,[ 0.77231793  0.54054054],[ 0.99989645  1.        ]
recall,[ 0.98723724  0.04905969],[ 1.          0.99929329]
support,[3996 1223],[9656 1415]
