,test,train
accuracy,0.727202233251,0.697539543058
auc score,0.758805705628,0.811421145008
confusion matrix,"[[4394 1586]
 [ 173  295]]","[[6687 3115]
 [ 327 1251]]"
f1,[ 0.83322272  0.25117071],[ 0.79531399  0.42092867]
mcc,0.208403293079,0.337570520969
precision,[ 0.96211955  0.15683147],[ 0.95337896  0.2865323 ]
recall,[ 0.73478261  0.63034188],[ 0.68220771  0.79277567]
support,[5980  468],[9802 1578]
