,max depth,accuracy,std
0,5.0,0.6984205895053301,0.06168022182367767
1,10.0,0.779351056659225,0.048144984582876756
2,15.0,0.829523297194727,0.034303485449507114
3,20.0,0.8503496954892997,0.016730450619946574
4,25.0,0.8531616464158681,0.011480009705214369
5,30.0,0.8551832381130158,0.010683972805642698
6,35.0,0.855973906551579,0.011998706235636458
7,40.0,0.85351371944663,0.010627759430584107
8,45.0,0.8538654834718103,0.010205464414587685
9,50.0,0.8553588307382147,0.012528118633496909
10,55.0,0.8543043490220077,0.011231525250675486
11,60.0,0.855886496190615,0.009449162477402514
12,65.0,0.8550078386841587,0.010748976797051902
13,70.0,0.854303847091499,0.012602324828914485
14,75.0,0.8550952101819375,0.011193773784847746
15,80.0,0.8545676604369964,0.012316928367426365
16,85.0,0.8528981418384642,0.012784387292798866
17,90.0,0.8563252844554899,0.011882860773113612
18,95.0,0.8560619729726477,0.009843486104994711
