,test,train
accuracy,0.82668848557,1.0
auc score,0.659587062037,1.0
confusion matrix,"[[5420  354]
 [ 811  137]]","[[7394    0]
 [   0 2612]]"
f1,[ 0.9029571   0.19041001],[ 1.  1.]
mcc,0.111294758662,1.0
precision,[ 0.86984433  0.2790224 ],[ 1.  1.]
recall,[ 0.93869068  0.14451477],[ 1.  1.]
support,[5774  948],[7394 2612]
