,VR,VFA,RPA,RCA,OA
count,4.0,4.0,4.0,4.0,4.0
mean,0.7988689235036978,0.45234134902061496,0.3804807005733987,0.42935391038815207,0.4776681741909392
std,0.12291243247441563,0.16761157434519702,0.22137259677400503,0.18284319305440302,0.14204561617090605
min,0.6198071485536142,0.28078405092980396,0.12252591894439209,0.2346117595881969,0.2983591038182392
25%,0.7683238801616593,0.38374954757772284,0.244945359862281,0.3003721827992574,0.3968396317792426
50%,0.8451423694708617,0.4229331350861938,0.38717270856695696,0.4253765052349162,0.5050192496172818
75%,0.8756874128129,0.49152493652908597,0.5227080492780747,0.5543582328238108,0.5858477920289785
max,0.8853838065194533,0.6827150749802684,0.6250514662152888,0.632050871494579,0.6022750937109538
