,test,train
accuracy,0.943320440345,1.0
auc score,0.701488425077,1.0
confusion matrix,"[[6336   57]
 [ 324    5]]","[[8893    0]
 [   0 1113]]"
f1,[ 0.97081131  0.02557545],[ 1.  1.]
mcc,0.0141770315056,1.0
precision,[ 0.95135135  0.08064516],[ 1.  1.]
recall,[ 0.991084    0.01519757],[ 1.  1.]
support,[6393  329],[8893 1113]
