,test,train
accuracy,0.607012837708,0.607533194833
auc score,0.703460452124,0.643861541399
confusion matrix,"[[1282  314]
 [1737 1886]]","[[4070 1852]
 [2493 2656]]"
f1,[ 0.55557963  0.64777606],[ 0.65198238  0.55006731]
mcc,0.302143329796,0.206183611287
precision,[ 0.42464392  0.85727273],[ 0.62014323  0.5891748 ]
recall,[ 0.80325815  0.52056307],[ 0.68726781  0.51582832]
support,[1596 3623],[5922 5149]
