,test,train
accuracy,0.725806451613,0.716781909923
auc score,0.745294554721,0.808681121687
confusion matrix,"[[4287 1528]
 [ 240  393]]","[[6064 2570]
 [ 461 1607]]"
f1,[ 0.82904661  0.30775255],[ 0.80005277  0.51465172]
mcc,0.232966331337,0.388037713636
precision,[ 0.94698476  0.20458095],[ 0.92934866  0.38472588]
recall,[ 0.7372313   0.62085308],[ 0.70233959  0.7770793 ]
support,[5815  633],[8634 2068]
