,test,train
accuracy,0.861042183623,1.0
auc score,0.696772795747,1.0
confusion matrix,"[[5447  368]
 [ 528  105]]","[[8634    0]
 [   0 2068]]"
f1,[ 0.92400339  0.18987342],[ 1.  1.]
mcc,0.117082341425,1.0
precision,[ 0.9116318   0.22198732],[ 1.  1.]
recall,[ 0.93671539  0.16587678],[ 1.  1.]
support,[5815  633],[8634 2068]
