,test,train
accuracy,0.586228287841,0.64800971781
auc score,0.586521497233,0.714480307072
confusion matrix,"[[2614 1185]
 [1483 1166]]","[[3170 1134]
 [2633 3765]]"
f1,[ 0.6621074  0.4664   ],[ 0.62728802  0.66654864]
mcc,0.131082980169,0.319850709602
precision,[ 0.63802783  0.49595917],[ 0.54626917  0.76852419]
recall,[ 0.68807581  0.4401661 ],[ 0.73652416  0.58846515]
support,[3799 2649],[4304 6398]
