,test,train
accuracy,0.954249379653,0.999906559522
auc score,0.726187890219,1.0
confusion matrix,"[[6149   51]
 [ 244    4]]","[[9765    0]
 [   1  936]]"
f1,[ 0.97657429  0.02640264],[ 0.9999488  0.9994661]
mcc,0.0165269372719,0.999415067604
precision,[ 0.96183326  0.07272727],[ 0.9998976  1.       ]
recall,[ 0.99177419  0.01612903],[ 1.          0.99893276]
support,[6200  248],[9765  937]
