,VR,VFA,RPA,RCA,OA
MatthewEntwistle_TheArch,0.950627195183141,0.3759163515703372,0.5773206221776217,0.6012042147516307,0.6037558890246031
MusicDelta_Britpop,0.9216614090431126,0.6416732438831886,0.2831230283911672,0.3204521556256572,0.31319028084569267
MatthewEntwistle_FairerHopes,0.5285453830479391,0.44509836892550864,0.07360669216744718,0.2055911057090766,0.29479724116612893
ChrisJacoby_BoothShotLincoln,0.6642681838464971,0.41199510403916767,0.1703201695671575,0.2651996876394467,0.24783082723845
