,test,train
accuracy,0.741138149071,0.694968837503
auc score,0.596347553528,0.812876689509
confusion matrix,"[[3781 1085]
 [ 266   87]]","[[7363 3284]
 [  93  331]]"
f1,[ 0.84842365  0.11409836],[ 0.81345633  0.16390196]
mcc,0.0141318748293,0.193255019246
precision,[ 0.9342723   0.07423208],[ 0.98752682  0.09156293]
recall,[ 0.77702425  0.24645892],[ 0.69155631  0.78066038]
support,[4866  353],[10647   424]
