,test,train
accuracy,0.977090151741,1.0
auc score,0.6780605593,1.0
confusion matrix,"[[6567   16]
 [ 138    1]]","[[9369    0]
 [   0  637]]"
f1,[ 0.9884106   0.01282051],[ 1.  1.]
mcc,0.0134972001958,1.0
precision,[ 0.97941834  0.05882353],[ 1.  1.]
recall,[ 0.9975695   0.00719424],[ 1.  1.]
support,[6583  139],[9369  637]
