,max depth,accuracy,std
0,5.0,0.7036797003096853,0.07657631169974283
1,10.0,0.847896418174529,0.043854770578968943
2,15.0,0.9070559534418605,0.020383103552449346
3,20.0,0.924545462283843,0.011042093060823396
4,25.0,0.9275439633330189,0.008979055549523466
5,30.0,0.9289424150062832,0.006871126267427245
6,35.0,0.927643513957307,0.007222460639970903
7,40.0,0.9293424647316701,0.006847608492262289
8,45.0,0.9278433141571073,0.007809086317022642
9,50.0,0.9288426147066327,0.007007810705254502
10,55.0,0.9285428144569075,0.007059727133726571
11,60.0,0.9293425646816951,0.0063786262590177665
12,65.0,0.9279434639323695,0.007519188166970447
13,70.0,0.9296423148565577,0.006064730124960147
14,75.0,0.928043413907432,0.006535010149519876
15,80.0,0.928143164281995,0.007743525638963371
16,85.0,0.9294424148065825,0.007494026058685147
17,90.0,0.9281431143569077,0.007730991846742325
18,95.0,0.9281437135578067,0.007340442998057348
