,test,train
accuracy,0.653846153846,0.684182776801
auc score,0.634033884382,0.742337143065
confusion matrix,"[[3311 1278]
 [ 954  905]]","[[4345 1766]
 [1828 3441]]"
f1,[ 0.74791055  0.44779812],[ 0.70742429  0.65693013]
mcc,0.199416781666,0.364395311709
precision,[ 0.77631887  0.41456711],[ 0.7038717   0.66084118]
recall,[ 0.72150795  0.48682087],[ 0.71101293  0.6530651 ]
support,[4589 1859],[6111 5269]
